xp,xv,angle,w
8.089210293694876252e-04,1.608248133778292510e-01,5.231434155454732782e-01,-9.025347492305750563e-02
3.197500521159322550e-03,3.159502042851715098e-01,5.218096691517720709e-01,-1.757164466788056767e-01
7.109284462718419573e-03,4.654827902573266396e-01,5.196443046656070708e-01,-2.566125573971475560e-01
1.248884486450186834e-02,6.095214085534226278e-01,5.166919613686100643e-01,-3.331443443199187948e-01
1.928170922238594404e-02,7.481585458045409975e-01,5.129953493297447764e-01,-4.054954711623032781e-01
2.743430358738448843e-02,8.814816309971876818e-01,5.085954276560207266e-01,-4.738327991066159650e-01
3.689390791045416701e-02,1.009574198637925413e+00,5.035315627942287264e-01,-5.383083071723061552e-01
4.760862239769520637e-02,1.132516928758851904e+00,4.978416683443809831e-01,-5.990608709238894880e-01
5.952734367658471526e-02,1.250388570163198709e+00,4.915623277606021024e-01,-6.562179075265293093e-01
7.259974963647358726e-02,1.363266753030845324e+00,4.847289012401140851e-01,-7.098968941592338489e-01
8.677629186643724679e-02,1.471228696740726427e+00,4.773756180357336398e-01,-7.602067658330025068e-01
1.020081946709792409e-01,1.574351818542409687e+00,4.695356553712623504e-01,-8.072491977930013052e-01
1.182474596994880500e-01,1.672714248533604842e+00,4.612412050911668393e-01,-8.511197769465416174e-01
1.354468752792575559e-01,1.766395256277487391e+00,4.525235291345873767e-01,-8.919090661730855185e-01
1.535600295948185423e-01,1.855475594321532862e+00,4.434130048874109220e-01,-9.297035649473974761e-01
1.725413269087752444e-01,1.940037763852227037e+00,4.339391614332924196e-01,-9.645865694415364233e-01
1.923460060717030184e-01,2.020166207729118923e+00,4.241307076935401654e-01,-9.966389351574577171e-01
2.129301606212586073e-01,2.095947436177143075e+00,4.140155534152545336e-01,-1.025939745165597827e+00
2.342507598236887867e-01,2.167470090467042976e+00,4.036208239357318983e-01,-1.052566887167564857e+00
2.562656700644994623e-01,2.234824949968898355e+00,3.929728696178345637e-01,-1.076597542841357669e+00
2.789336760491494260e-01,2.298104888012422187e+00,3.820972708149236730e-01,-1.098108593241694964e+00
3.022145013291480664e-01,2.357404782019731915e+00,3.710188391844411737e-01,-1.117176944391328863e+00
3.260688277236502564e-01,2.412821383382837581e+00,3.597616161259395429e-01,-1.133879777586836779e+00
3.504583132612621998e-01,2.464453152531603131e+00,3.483488690721737724e-01,-1.148294729330423758e+00
3.753456083209366634e-01,2.512400064572593017e+00,3.368030863108972262e-01,-1.160500006165498865e+00
4.006943697041359664e-01,2.556763390770951272e+00,3.251459709605598603e-01,-1.170574440018420370e+00
4.264692724224334874e-01,2.597645460994068678e+00,3.133984346656975561e-01,-1.178597489915091279e+00
4.526360190349558721e-01,2.635149412036953631e+00,3.015805915180767016e-01,-1.184649196135726390e+00
4.791613464180871640e-01,2.669378926506305927e+00,2.897117526483873884e-01,-1.188810092984576627e+00
5.060130298952403294e-01,2.700437966656388689e+00,2.778104218713043361e-01,-1.191161086377986900e+00
5.331598846968576000e-01,2.728430507249327786e+00,2.658942927049375293e-01,-1.191783302391980159e+00
5.605717647597939779e-01,2.753460271161078499e+00,2.539802470249582500e-01,-1.190757912761254644e+00
5.882195589105894129e-01,2.775630471078507799e+00,2.420843555548601034e-01,-1.188165943089923182e+00
6.160751845086346323e-01,2.795043560239966585e+00,2.302218803376828160e-01,-1.184088069228101059e+00
6.441115786527511489e-01,2.811800994768749895e+00,2.184072792817927100e-01,-1.178604406897370449e+00
6.723026870781703135e-01,2.826003009743402128e+00,2.066542128245655863e-01,-1.171794299223600122e+00
7.006234508903258495e-01,2.837748410748048400e+00,1.949755527135330069e-01,-1.163736106369994694e+00
7.290497912973474826e-01,2.847134382256487406e+00,1.833833928650743794e-01,-1.154507000969408059e+00
7.575585925148022870e-01,2.854256313831621483e+00,1.718890622262866930e-01,-1.144182772545598636e+00
7.861276830242769353e-01,2.859207644772092216e+00,1.605031395363319680e-01,-1.132837643600364430e+00
8.147358153720749563e-01,2.862079727514923899e+00,1.492354698593291173e-01,-1.120544099538533400e+00
8.433626446958979450e-01,2.862961709809813460e+00,1.380951827415919653e-01,-1.107372734115482427e+00
8.719887061662039418e-01,2.861940435419668471e+00,1.270907118314991424e-01,-1.093392111630633323e+00
9.005953915253165354e-01,2.859100362874421819e+00,1.162298157902190154e-01,-1.078668646662029218e+00
9.291649249016314949e-01,2.854523501611387459e+00,1.055196003155462608e-01,-1.063266501746792381e+00
9.576803380687703982e-01,2.848289364675131718e+00,9.496654109883805039e-02,-1.047247503063582386e+00
9.861254453105958717e-01,2.840474937021860047e+00,8.457650753603856986e-02,-1.030671073868147047e+00
1.014484818042940883e+00,2.831154658376003219e+00,7.435478701760986353e-02,-1.013594185172376871e+00
1.042743759332014575e+00,2.820400419517895330e+00,6.430610962840349609e-02,-9.960713229404033475e-01
1.070888278438001384e+00,2.808281570838636831e+00,5.443467309667911203e-02,-9.781544709006742000e-01
1.098905065500616729e+00,2.794864941978769668e+00,4.474416784119257529e-02,-9.598931079382443388e-01
1.126781466471536097e+00,2.780214871368356544e+00,3.523780197615208887e-02,-9.413342189337339239e-01
1.154505458386870353e+00,2.764393244504636638e+00,2.591832614552413289e-02,-9.225223178511163802e-01
1.182065625061377911e+00,2.747459539836753173e+00,1.678805807034514444e-02,-9.034994818419954665e-01
1.209451133275016854e+00,2.729470881172427976e+00,7.848906705081004978e-03,-8.843053951254988831e-01
1.236651709511855879e+00,2.710482095576335126e+00,-8.976040885660847846e-04,-8.649774014165427793e-01
1.263657617301365832e+00,2.690545775791951755e+00,-9.450312429877800666e-03,-8.455505637072929792e-01
1.290459635202763300e+00,2.669712346285693538e+00,-1.780839593711365521e-02,-8.260577302536604716e-01
1.317049035464415763e+00,2.648030132082326293e+00,-2.597134993182877855e-02,-8.065296056773494371e-01
1.343417563382362401e+00,2.625545429632298866e+00,-3.393896637550151973e-02,-7.869948261613636253e-01
1.369557417374773767e+00,2.602302579023380247e+00,-4.171131357459915978e-02,-7.674800377903123749e-01
1.395461229782650081e+00,2.578344036919638427e+00,-4.928871668110693799e-02,-7.480099771640223993e-01
1.421122048401233906e+00,2.553710449679403638e+00,-5.667173900722449059e-02,-7.286075534918544649e-01
1.446533318741459517e+00,2.528440726169651764e+00,-6.386116416540300877e-02,-7.092939314540627205e-01
1.471688867016253122e+00,2.502572109856675553e+00,-7.085797903814949894e-02,-6.900886141941331431e-01
1.496582883842592304e+00,2.476140249811543459e+00,-7.766335757604184153e-02,-6.710095258811855645e-01
1.521209908646893094e+00,2.449179270323408097e+00,-8.427864541715177071e-02,-6.520730933533532836e-01
1.545564814758481287e+00,2.421721838864086429e+00,-9.070534531652453547e-02,-6.332943264209343059e-01
1.569642795173569860e+00,2.393799232193402737e+00,-9.694510337047340665e-02,-6.146868964715760386e-01
1.593439348970276281e+00,2.365441400436632868e+00,-1.029996960171675191e-01,-5.962632130785401330e-01
1.616950268353712916e+00,2.336677029003079387e+00,-1.088710177922759259e-01,-5.780344983670470116e-01
